Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight int); ContainerArea (int); Coverage (%);
10497559;2157354751;2167852310;10000;510;450;229500;98;
10966102;2226496738;2237462840;10000;510;450;229500;98;
10564720;2169078580;2179643300;10000;511;450;229950;97;
7750305;2215811525;2223561830;10000;513;450;230850;97;
10110400;2170157096;2180267496;10000;510;450;229500;98;
8899143;2225881628;2234780771;10000;509;450;229050;98;
11152966;2178016833;2189169799;10000;509;450;229050;98;
9691240;2164604515;2174295755;10000;509;450;229050;98;
8878600;2171412205;2180290805;10000;511;450;229950;97;
10712473;2208723341;2219435814;10000;513;450;230850;97;
9925512;2183343440;2193268952;10000;509;450;229050;98;
8244132;2213156319;2221400451;10000;511;450;229950;97;
9893511;2204543991;2214437502;10000;510;450;229500;98;
9572722;2307171739;2316744461;10000;509;450;229050;98;
10861015;2229800238;2240661253;10000;512;450;230400;97;
8948920;2201827947;2210776867;10000;512;450;230400;97;
10292918;2130398557;2140691475;10000;510;450;229500;98;
8387539;2218226137;2226613676;10000;508;450;228600;98;
11284521;2164905946;2176190467;10000;510;450;229500;98;
9844524;2191076364;2200920888;10000;512;450;230400;97;
10853904;2065261698;2076115602;10000;510;450;229500;98;
10879979;2232730799;2243610778;10000;510;450;229500;98;
10667830;2187314593;2197982423;10000;508;450;228600;98;
12315630;2283110157;2295425787;10000;511;450;229950;97;
11119781;2329709571;2340829352;10000;512;450;230400;97;
10847583;2102411255;2113258838;10000;512;450;230400;97;
8290354;2076618120;2084908474;10000;511;450;229950;97;
11105953;2055656187;2066762140;10000;510;450;229500;98;
8090058;2099522174;2107612232;10000;511;450;229950;97;
11305459;1992440114;2003745573;10000;512;450;230400;97;
7968379;2106087692;2114056071;10000;510;450;229500;98;
12161161;2041130586;2053291747;10000;509;450;229050;98;
8582305;2027126860;2035709165;10000;509;450;229050;98;
10762250;2032050900;2042813150;10000;512;450;230400;97;
8945365;2034171982;2043117347;10000;510;450;229500;98;
11006003;2013650146;2024656149;10000;512;450;230400;97;
8553464;2062576469;2071129933;10000;507;450;228150;98;
12120075;2022219413;2034339488;10000;510;450;229500;98;
7868824;2038085060;2045953884;10000;510;450;229500;98;
10514942;2024483507;2034998449;10000;509;450;229050;98;
7553171;2043988851;2051542022;10000;512;450;230400;97;
10312276;1990627969;2000940245;10000;512;450;230400;97;
8257959;2066861300;2075119259;10000;509;450;229050;98;
10941212;2053336784;2064277996;10000;509;450;229050;98;
10595535;2103367302;2113962837;10000;508;450;228600;98;
11516027;2081311444;2092827471;10000;509;450;229050;98;
10518497;1998296497;2008814994;10000;513;450;230850;97;
7931638;2078562610;2086494248;10000;512;450;230400;97;
10847583;2044951615;2055799198;10000;509;450;229050;98;
8062404;2076966169;2085028573;10000;509;450;229050;98;
11007583;2066537350;2077544933;10000;510;450;229500;98;
7768083;2091007031;2098775114;10000;510;450;229500;98;
10696275;2026082714;2036778989;10000;511;450;229950;97;
7907935;2105232780;2113140715;10000;510;450;229500;98;
10340720;2088328517;2098669237;10000;510;450;229500;98;
11283336;2088764664;2100048000;10000;511;450;229950;97;
10506251;1971923809;1982430060;10000;508;450;228600;98;
9857166;2033481415;2043338581;10000;510;450;229500;98;
8884921;2050704492;2059589413;10000;509;450;229050;98;
10716424;2013689652;2024406076;10000;509;450;229050;98;
8197910;2009029118;2017227028;10000;510;450;229500;98;
10923830;2088952318;2099876148;10000;511;450;229950;97;
10194548;2010373511;2020568059;10000;511;450;229950;97;
9826351;2045413046;2055239397;10000;510;450;229500;98;
10212326;2092540261;2102752587;10000;511;450;229950;97;
8232280;2042155373;2050387653;10000;508;450;228600;98;
10623584;2089304712;2099928296;10000;510;450;229500;98;
8763637;2140682784;2149446421;10000;508;450;228600;98;
9961461;2073600250;2083561711;10000;510;450;229500;98;
10332424;2021515414;2031847838;10000;510;450;229500;98;
8142206;2058607292;2066749498;10000;512;450;230400;97;
10761065;2003554759;2014315824;10000;512;450;230400;97;
7473763;2038283381;2045757144;10000;510;450;229500;98;
10762645;1981150852;1991913497;10000;509;450;229050;98;
10413016;2013477899;2023890915;10000;511;450;229950;97;
10813214;2060329362;2071142576;10000;510;450;229500;98;
9703487;2027660587;2037364074;10000;513;450;230850;97;
7544874;1981553420;1989098294;10000;513;450;230850;97;
10915534;2064463675;2075379209;10000;510;450;229500;98;
10021116;1990622438;2000643554;10000;511;450;229950;97;
10437115;2017515422;2027952537;10000;510;450;229500;98;
10200869;2013758392;2023959261;10000;512;450;230400;97;
8030008;2074270669;2082300677;10000;513;450;230850;97;
10636621;2036119237;2046755858;10000;509;450;229050;98;
10297264;1998007312;2008304576;10000;511;450;229950;97;
8621415;2040703524;2049324939;10000;508;450;228600;98;
11006003;2029435202;2040441205;10000;512;450;230400;97;
8308922;2024055261;2032364183;10000;510;450;229500;98;
10588818;2038474591;2049063409;10000;511;450;229950;97;
10638597;2086246545;2096885142;10000;508;450;228600;98;
8695291;1997826375;2006521666;10000;510;450;229500;98;
10542992;2075851306;2086394298;10000;511;450;229950;97;
10965312;2071199464;2082164776;10000;511;450;229950;97;
7577269;1982006554;1989583823;10000;510;450;229500;98;
12023680;2104406313;2116429993;10000;510;450;229500;98;
10209560;1932632627;1942842187;10000;512;450;230400;97;
8337762;2083998254;2092336016;10000;511;450;229950;97;
10495979;2033702650;2044198629;10000;511;450;229950;97;
10646497;2044724060;2055370557;10000;509;450;229050;98;
9167389;2048233387;2057400776;10000;510;450;229500;98;
10456473;2085634202;2096090675;10000;510;450;229500;98;
10636621;2050454024;2061090645;10000;510;450;229500;98;
8699637;2064441552;2073141189;10000;512;450;230400;97;
10299239;2098204646;2108503885;10000;510;450;229500;98;
11144274;2065119081;2076263355;10000;511;450;229950;97;
7694602;2076505133;2084199735;10000;510;450;229500;98;
10715633;2014525996;2025241629;10000;511;450;229950;97;
10108820;2059301414;2069410234;10000;512;450;230400;97;
8434946;2031354012;2039788958;10000;507;450;228150;98;
10543782;1990160217;2000703999;10000;509;450;229050;98;
10194152;2061443039;2071637191;10000;512;450;230400;97;
7935984;2014735378;2022671362;10000;511;450;229950;97;
11446496;2024855654;2036302150;10000;510;450;229500;98;
9959486;2019712357;2029671843;10000;510;450;229500;98;
7828528;2051367800;2059196328;10000;511;450;229950;97;
10964522;1973929928;1984894450;10000;509;450;229050;98;
10093017;2043573642;2053666659;10000;509;450;229050;98;
8365811;2032319936;2040685747;10000;510;450;229500;98;
10525609;2006979541;2017505150;10000;511;450;229950;97;
10197313;1998839707;2009037020;10000;509;450;229050;98;
7853022;2038396763;2046249785;10000;511;450;229950;97;
10037709;1986885952;1996923661;10000;509;450;229050;98;
10458449;2022220203;2032678652;10000;510;450;229500;98;
7363936;2025694764;2033058700;10000;508;450;228600;98;
10692720;2047997535;2058690255;10000;508;450;228600;98;
10314647;2074077483;2084392130;10000;511;450;229950;97;
7670503;2022823066;2030493569;10000;512;450;230400;97;
10834942;2020204602;2031039544;10000;510;450;229500;98;
10068919;2032564084;2042633003;10000;511;450;229950;97;
8078997;2065061007;2073140004;10000;508;450;228600;98;
